word,spelling_status
उखाड़,correct spelling
तंबू,correct spelling
वक्त,correct spelling
की,correct spelling
सात,correct spelling
हमने,correct spelling
मम्मी,correct spelling
महसूस,correct spelling
अपने,incorrect spelling
कैम्पिंग,correct spelling
जाओगे,correct spelling
लगा,correct spelling
किए,correct spelling
होता,correct spelling
सायद,incorrect spelling
मजा,correct spelling
"तो,",incorrect spelling
खांड,correct spelling
दुबारा,correct spelling
उठाने,correct spelling
जायेगा,correct spelling
कम,correct spelling
अच्छा,correct spelling
मुझे,correct spelling
देना,correct spelling
खोजने,correct spelling
वहाँ,correct spelling
पहले,correct spelling
लिखना,correct spelling
घर,correct spelling
रहते,correct spelling
"आया,",incorrect spelling
चाहते,correct spelling
बारे,correct spelling
शांति,correct spelling
आ,incorrect spelling
जन,correct spelling
थोड़ा,correct spelling
कुड़रमा,correct spelling
बोल,incorrect spelling
काफी,correct spelling
थे।,incorrect spelling
लेकर,incorrect spelling
उठा,incorrect spelling
तरफ,correct spelling
टैंट,incorrect spelling
बजे,correct spelling
ही,correct spelling
वो,correct spelling
लुढ़क,correct spelling
उससे,incorrect spelling
उनको,correct spelling
सारे,correct spelling
एरिया,correct spelling
करनी,correct spelling
उठते,correct spelling
रही,correct spelling
कहीं,incorrect spelling
जंगन,correct spelling
कैम्प,correct spelling
दिन,correct spelling
बिना,correct spelling
हमारा,correct spelling
वगेरा,correct spelling
किस,incorrect spelling
और,correct spelling
नहीं,correct spelling
उठाएं,incorrect spelling
अनुभव,correct spelling
ऐसे,incorrect spelling
होती,correct spelling
एंटर,correct spelling
चाहिए,correct spelling
थी,correct spelling
गाड़,correct spelling
कुछ,correct spelling
फिर,correct spelling
जो,correct spelling
बाद,correct spelling
आया,incorrect spelling
भाषा,correct spelling
सा,incorrect spelling
दस,correct spelling
लोग,correct spelling
सारा,correct spelling
बारी,correct spelling
