raw,number_norm,english_tagged,english_words
अराम से हां आराम से सो रहे थे हम और पता है जब उठे ना तो ऐसे उन लोग चिला रहे थे तो मेको समझ में आ नहीं रहा था कि क्या बोल रहे ऐसे हुर कुछ हुर कुछ के बदक बदक उड़न्टा साथ कुछ रहे थे,अराम से हां आराम से सो रहे थे हम और पता है जब उठे ना तो ऐसे उन लोग चिला रहे थे तो मेको समझ में आ नहीं रहा था कि क्या बोल रहे ऐसे हुर कुछ हुर कुछ के बदक बदक उड़न्टा साथ कुछ रहे थे,अराम से हां आराम से सो रहे थे हम और पता है जब उठे ना तो ऐसे उन लोग चिला रहे थे तो मेको समझ में आ नहीं रहा था कि क्या बोल रहे ऐसे हुर कुछ हुर कुछ के बदक बदक उड़न्टा साथ कुछ रहे थे,[]
बहुत अजीब सा अनुभव था क्योंकि वो पता है उठा उठा के उनको पटक रहे थे बार बार और वो किस भाषा में बात कर रहे थे मुझे समझ में नहीं आ रही थे तो जो हमारे गार्ड अंकल थे न वो आके फिर बताए कि नहीं नहीं ये लोग।,बहुत अजीब सा अनुभव था क्योंकि वो पता है उठा उठा के उनको पटक रहे थे बार बार और वो किस भाषा में बात कर रहे थे मुझे समझ में नहीं आ रही थे तो जो हमारे गार्ड अंकल थे न वो आके फिर बताए कि नहीं नहीं ये लोग।,बहुत अजीब सा अनुभव था क्योंकि वो पता है उठा उठा के उनको पटक रहे थे बार बार और वो किस भाषा में बात कर रहे थे मुझे समझ में नहीं आ रही थे तो जो हमारे गार्ड अंकल थे न वो आके फिर बताए कि नहीं नहीं ये लोग।,[]
उनको लगा कि सायद उनको खतरा महसूस हो रहा था हम लोग से,उनको लगा कि सायद उनको खतरा महसूस हो रहा था हम लोग से,उनको लगा कि सायद उनको खतरा महसूस हो रहा था हम लोग से,[]
"हां बाहरी आ गया तो, वहां के जो थे ना वो अपने भाषा में कुछ बात किए तो हमको तो कुछ समझ में नहीं आया, लेकिन वो अपने भाषा में बात कर रहे थे तो फिर फिर पता है हम को छोड़ दिए फिर घर घर तो नहीं।","हां बाहरी आ गया तो, वहां के जो थे ना वो अपने भाषा में कुछ बात किए तो हमको तो कुछ समझ में नहीं आया, लेकिन वो अपने भाषा में बात कर रहे थे तो फिर फिर पता है हम को छोड़ दिए फिर घर घर तो नहीं।","हां बाहरी आ गया तो, वहां के जो थे ना वो अपने भाषा में कुछ बात किए तो हमको तो कुछ समझ में नहीं आया, लेकिन वो अपने भाषा में बात कर रहे थे तो फिर फिर पता है हम को छोड़ दिए फिर घर घर तो नहीं।",[]
अ रोड पे होता है न रोड का जो एरिया वो रोड पे हम लोग को छोड़ने आए और कुछ अपनी भाषा में ही बात कर रहे थे तो समझ में तो आए न लेकिन अब दुबारा हम घाटे तो नहीं जाएंगे,अ रोड पे होता है न रोड का जो एरिया वो रोड पे हम लोग को छोड़ने आए और कुछ अपनी भाषा में ही बात कर रहे थे तो समझ में तो आए न लेकिन अब दुबारा हम घाटे तो नहीं जाएंगे,अ रोड पे होता है न रोड का जो [EN]एरिया[/EN] वो रोड पे हम लोग को छोड़ने आए और कुछ अपनी भाषा में ही बात कर रहे थे तो समझ में तो आए न लेकिन अब दुबारा हम घाटे तो नहीं जाएंगे,['एरिया']
हाँ बोहोत,हाँ बोहोत,हाँ बोहोत,[]
और फिर अमेजन का जंगन होता है ना वो उससे भी थोड़ा मतलब जुड़ा हुआ है,और फिर अमेजन का जंगन होता है ना वो उससे भी थोड़ा मतलब जुड़ा हुआ है,और फिर [EN]अमेजन[/EN] का जंगन होता है ना वो उससे भी थोड़ा मतलब जुड़ा हुआ है,['अमेजन']
हूं,हूं,हूं,[]
जी,जी,जी,[]
पता है लेकिन जब लोग घूमने जाते हैं तो लाइट वगैरा लेकर जाने चाहिए हम ने मिस्टेक किए कि हम लाइट नहीं ले गए थे,पता है लेकिन जब लोग घूमने जाते हैं तो लाइट वगैरा लेकर जाने चाहिए हम ने मिस्टेक किए कि हम लाइट नहीं ले गए थे,पता है लेकिन जब लोग घूमने जाते हैं तो लाइट वगैरा लेकर जाने चाहिए हम ने [EN]मिस्टेक[/EN] किए कि हम लाइट नहीं ले गए थे,['मिस्टेक']
एरिया,एरिया,[EN]एरिया[/EN],['एरिया']
तो जहां डर रहेगा वहा थोड़ा सा मजा आएगा वहा पर मजा आएगा वहा पर डर भी तो होनी चाहिए थोड़ा सा बढ़ना हम लोग भूल जायेगा न,तो जहां डर रहेगा वहा थोड़ा सा मजा आएगा वहा पर मजा आएगा वहा पर डर भी तो होनी चाहिए थोड़ा सा बढ़ना हम लोग भूल जायेगा न,तो जहां डर रहेगा वहा थोड़ा सा मजा आएगा वहा पर मजा आएगा वहा पर डर भी तो होनी चाहिए थोड़ा सा बढ़ना हम लोग भूल जायेगा न,[]
हा,हा,हा,[]
आपको पता है आपको एक बात पता जब तंबू गाड़ के रहते हैं ना हम लोग टेंट वगेरा अगर कहीं भी कैम्पिंग करने जाते हैं तो आसपास की एरिया मतलब कुछ एरिया में थोड़ा पता है आग लहरा देना चाहिए,आपको पता है आपको 1 बात पता जब तंबू गाड़ के रहते हैं ना हम लोग टेंट वगेरा अगर कहीं भी कैम्पिंग करने जाते हैं तो आसपास की एरिया मतलब कुछ एरिया में थोड़ा पता है आग लहरा देना चाहिए,आपको पता है आपको 1 बात पता जब तंबू गाड़ के रहते हैं ना हम लोग [EN]टेंट[/EN] वगेरा अगर कहीं भी कैम्पिंग करने जाते हैं तो आसपास की [EN]एरिया[/EN] मतलब कुछ [EN]एरिया[/EN] में थोड़ा पता है आग लहरा देना चाहिए,"['टेंट', 'एरिया', 'एरिया']"
